numitems,bitsperitem,instance_id,objective,use_lower_bound,use_fast_lower_bound,use_set_of_seen_states,use_dynamic_programming,diff,runtime
10,16,5,maximize-smallest-sum,True,False,True,False,719.0,0.0051075999999996
10,16,5,maximize-smallest-sum,True,True,False,False,578.0,0.0020907999999999
10,16,5,maximize-smallest-sum,True,True,True,False,877.0,0.0027193000000003
10,16,6,minimize-largest-sum,False,False,False,False,45.0,0.017862
10,16,6,minimize-largest-sum,False,False,True,False,115.0,0.0162924000000002
10,16,6,minimize-largest-sum,False,True,False,False,238.0,0.0008207000000002
10,16,6,minimize-largest-sum,False,True,True,False,72.0,0.0015136999999998
10,16,6,minimize-largest-sum,True,False,False,False,60.0,0.0018826
10,16,6,minimize-largest-sum,True,False,True,False,45.0,0.0024175999999997
10,16,6,minimize-largest-sum,True,True,False,False,53.0,0.0033585
10,16,6,minimize-largest-sum,True,True,True,False,103.0,0.0041224999999998
10,16,6,maximize-smallest-sum,False,False,False,False,360.0,0.0158531000000001
10,16,6,maximize-smallest-sum,False,False,True,False,338.0,0.0161774000000001
10,16,6,maximize-smallest-sum,False,True,False,False,11.0,0.0017719
10,16,6,maximize-smallest-sum,False,True,True,False,61.0,0.0014578000000002
10,16,6,maximize-smallest-sum,True,False,False,False,609.0,0.0032188999999998
10,16,6,maximize-smallest-sum,True,False,True,False,330.0,0.0032106999999998
10,16,6,maximize-smallest-sum,True,True,False,False,82.0,0.0011183000000003
10,16,6,maximize-smallest-sum,True,True,True,False,274.0,0.0012006000000002
10,16,7,minimize-largest-sum,False,False,False,False,13.0,0.0145747000000002
10,16,7,minimize-largest-sum,False,False,True,False,620.0,0.015327
10,16,7,minimize-largest-sum,False,True,False,False,249.0,0.0027724999999998
10,16,7,minimize-largest-sum,False,True,True,False,333.0,0.0036347000000001
10,16,7,minimize-largest-sum,True,False,False,False,149.0,0.0036313999999997
10,16,7,minimize-largest-sum,True,False,True,False,195.0,0.0017289000000002
10,16,7,minimize-largest-sum,True,True,False,False,44.0,0.0042333999999999
10,16,7,minimize-largest-sum,True,True,True,False,251.0,0.0014685
10,16,7,maximize-smallest-sum,False,False,False,False,424.0,0.0175012999999997
10,16,7,maximize-smallest-sum,False,False,True,False,529.0,0.0212908999999998
10,16,7,maximize-smallest-sum,False,True,False,False,72.0,0.0019044999999997
10,16,7,maximize-smallest-sum,False,True,True,False,93.0,0.0032337
10,16,7,maximize-smallest-sum,True,False,False,False,61.0,0.0036104000000003
10,16,7,maximize-smallest-sum,True,False,True,False,118.0,0.0030242
10,16,7,maximize-smallest-sum,True,True,False,False,148.0,0.0008404999999997
10,16,7,maximize-smallest-sum,True,True,True,False,161.0,0.0028066999999998
10,16,8,minimize-largest-sum,False,False,False,False,335.0,0.0152115999999997
10,16,8,minimize-largest-sum,False,False,True,False,131.0,0.0154185
