algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,2,14,24,7,10517.0,0.26529800000000137
integer-programming,2,14,24,8,4527.0,0.29871610000000004
integer-programming,2,14,24,9,13641.0,0.2478252000000012
integer-programming,2,14,32,0,192679.0,0.44389460000000014
integer-programming,2,14,32,1,321662.0,0.41282839999999865
integer-programming,2,14,32,2,259406.0,0.3963735000000028
integer-programming,2,14,32,3,1325275.0,0.39128789999999825
integer-programming,2,14,32,4,433076.0,0.27025620000000217
integer-programming,2,14,32,5,5985513.0,0.38974319999999807
integer-programming,2,14,32,6,1960690.0,0.2760081999999997
integer-programming,2,14,32,7,483150.0,0.40201259999999905
integer-programming,2,14,32,8,1069119.0,0.4496152000000002
integer-programming,2,14,32,9,1151258.0,0.4286976000000031
integer-programming,2,14,48,0,87419910912.0,0.26131610000000194
integer-programming,2,14,48,1,9993882930.0,0.19078050000000246
integer-programming,2,14,48,2,72211218998.0,0.312275200000002
integer-programming,2,14,48,3,16148373394.0,0.3723647999999997
integer-programming,2,14,48,4,134589286351.0,0.3211586000000004
integer-programming,2,14,48,5,93978232121.0,0.38009110000000135
integer-programming,2,14,48,6,105643819537.0,0.3283354000000003
integer-programming,2,14,48,7,18412839406.0,0.4337046000000022
integer-programming,2,14,48,8,15251404831.0,0.20984530000000134
integer-programming,2,14,48,9,73086133166.0,0.37108130000000017
integer-programming,2,16,16,0,2.0,0.518325100000002
integer-programming,2,16,16,1,3.0,0.6090358000000009
integer-programming,2,16,16,2,19.0,0.40728539999999924
integer-programming,2,16,16,3,4.0,0.523989499999999
integer-programming,2,16,16,4,3.0,0.5422905
integer-programming,2,16,16,5,12.0,0.5087007999999997
integer-programming,2,16,16,6,0.0,0.19280469999999994
integer-programming,2,16,16,7,40.0,0.5673119
integer-programming,2,16,16,8,5.0,0.6386729999999972
integer-programming,2,16,16,9,6.0,0.529602900000004
integer-programming,2,16,24,0,383.0,0.5319925999999953
integer-programming,2,16,24,1,833.0,0.5537148000000016
integer-programming,2,16,24,2,1219.0,0.5692794999999933
integer-programming,2,16,24,3,692.0,0.5526196999999939
integer-programming,2,16,24,4,912.0,0.574110300000001
integer-programming,2,16,24,5,205.0,0.5480086999999969
integer-programming,2,16,24,6,1009.0,0.5465343999999988
integer-programming,2,16,24,7,2987.0,0.43352000000000146
integer-programming,2,16,24,8,105.0,0.5640769000000034
integer-programming,2,16,24,9,1632.0,0.5927515999999997
integer-programming,2,16,32,0,235687.0,0.6140773999999993
integer-programming,2,16,32,1,1292075.0,0.5747314999999986
integer-programming,2,16,32,2,1091132.0,0.5477342999999948
integer-programming,2,16,32,3,365616.0,0.605515000000004
integer-programming,2,16,32,4,277535.0,1.2449426999999957
integer-programming,2,16,32,5,397496.0,0.5003756000000052
integer-programming,2,16,32,6,506633.0,0.5623599999999982
integer-programming,2,16,32,7,35459.0,0.4095743000000027
integer-programming,2,16,32,8,66063.0,0.5823734000000016
integer-programming,2,16,32,9,1284581.0,0.6537672999999984
integer-programming,2,16,48,0,14254808823.0,0.8366459000000006
integer-programming,2,16,48,1,53474225163.0,0.6576339000000004
integer-programming,2,16,48,2,3206576303.0,0.4549030999999957
integer-programming,2,16,48,3,93346238129.0,0.7057585999999958
integer-programming,2,16,48,4,9898732184.0,0.6063839999999985
integer-programming,2,16,48,5,17673401487.0,0.42679719999999577
integer-programming,2,16,48,6,1318800602.0,0.9178695000000019
integer-programming,2,16,48,7,144536544914.0,0.1231938000000028
integer-programming,2,16,48,8,13188294748.0,0.863576799999997
integer-programming,2,16,48,9,2448053448.0,0.8428228000000004
integer-programming,2,18,16,0,7.0,0.7462511999999961
integer-programming,2,18,16,1,2.0,0.8020230999999995
integer-programming,2,18,16,2,1.0,0.38300650000000047
integer-programming,2,18,16,3,7.0,0.8774023
integer-programming,2,18,16,4,3.0,0.8214777000000026
integer-programming,2,18,16,5,7.0,0.8702305999999993
integer-programming,2,18,16,6,0.0,0.2917632999999995
integer-programming,2,18,16,7,0.0,0.4610061999999999
integer-programming,2,18,16,8,3.0,1.0742651999999993
integer-programming,2,18,16,9,1.0,0.8206666000000027
integer-programming,2,18,24,0,2639.0,1.1191292999999973
integer-programming,2,18,24,1,135.0,0.8947982000000039
integer-programming,2,18,24,2,336.0,0.7524686000000003
integer-programming,2,18,24,3,7.0,1.6260218000000037
integer-programming,2,18,24,4,76.0,0.7384222000000022
integer-programming,2,18,24,5,298.0,1.0094721000000035
integer-programming,2,18,24,6,810.0,0.8525059999999911
integer-programming,2,18,24,7,337.0,0.7578309999999959
integer-programming,2,18,24,8,459.0,0.9790277999999972
integer-programming,2,18,24,9,130.0,0.8376722999999942
integer-programming,2,18,32,0,211645.0,0.7532803000000001
integer-programming,2,18,32,1,98596.0,0.9382255999999956
integer-programming,2,18,32,2,104336.0,0.8003949000000006
integer-programming,2,18,32,3,214623.0,1.1244567999999902
integer-programming,2,18,32,4,81540.0,0.9394683000000015
integer-programming,2,18,32,5,267699.0,0.9581471999999991
integer-programming,2,18,32,6,77580.0,0.8455991999999952
integer-programming,2,18,32,7,23333.0,0.6748519000000073
integer-programming,2,18,32,8,61509.0,2.971292599999998
integer-programming,2,18,32,9,2791.0,0.9197542999999939
integer-programming,2,18,48,0,5920645484.0,2.3520315000000096
integer-programming,2,18,48,1,3461773261.0,0.8444288999999969
integer-programming,2,18,48,2,7286662128.0,0.9333345000000008
integer-programming,2,18,48,3,2717003021.0,0.757368900000003
integer-programming,2,18,48,4,15205235187.0,1.7619901000000056
integer-programming,2,18,48,5,10499542084.0,1.6598120000000023
integer-programming,2,18,48,6,22218041710.0,0.7876638000000042
integer-programming,2,18,48,7,223593750.0,0.8864964999999927
integer-programming,2,18,48,8,2307571197.0,2.638281599999999
integer-programming,2,18,48,9,17454959555.0,2.4906632
integer-programming,2,20,16,0,0.0,0.5823582000000016
integer-programming,2,20,16,1,1.0,0.20723379999999736
integer-programming,2,20,16,2,1.0,0.045155100000002335
integer-programming,2,20,16,3,1.0,0.452156599999995
integer-programming,2,20,16,4,0.0,0.15129670000000317
integer-programming,2,20,16,5,2.0,1.003198900000001
integer-programming,2,20,16,6,0.0,0.5540051999999918
integer-programming,2,20,16,7,1.0,0.3113728000000009
integer-programming,2,20,16,8,1.0,0.7472440000000091
integer-programming,2,20,16,9,1.0,0.6470275000000072
integer-programming,2,20,24,0,71.0,1.6992280999999991
integer-programming,2,20,24,1,14.0,5.302718999999996
integer-programming,2,20,24,2,60.0,1.1340483999999975
integer-programming,2,20,24,3,64.0,1.7421156000000053
integer-programming,2,20,24,4,24.0,1.8319086999999996
integer-programming,2,20,24,5,229.0,2.130439899999999
integer-programming,2,20,24,6,13.0,7.040780600000005
integer-programming,2,20,24,7,157.0,1.915286199999997
integer-programming,2,20,24,8,140.0,1.9480642000000046
integer-programming,2,20,24,9,128.0,1.6843610999999896
integer-programming,2,20,32,0,18918.0,1.4629527000000024
integer-programming,2,20,32,1,4184.0,3.115419700000004
integer-programming,2,20,32,2,31426.0,1.832261200000005
integer-programming,2,20,32,3,44605.0,1.6405374999999935
integer-programming,2,20,32,4,23102.0,1.8762662999999975
integer-programming,2,20,32,5,2071.0,4.010677900000019
integer-programming,2,20,32,6,22521.0,1.647469199999989
integer-programming,2,20,32,7,12841.0,1.5734181999999919
integer-programming,2,20,32,8,34059.0,1.3304822000000058
integer-programming,2,20,32,9,23318.0,1.5482988999999918
integer-programming,2,20,48,0,605425113.0,5.416575800000004
integer-programming,2,20,48,1,442099347.0,1.7345919999999921
integer-programming,2,20,48,2,5772521761.0,1.185761900000017
integer-programming,2,20,48,3,267923769.0,1.586600500000003
integer-programming,2,20,48,4,1201851976.0,1.2887854999999888
integer-programming,2,20,48,5,702460309.0,1.083163600000006
integer-programming,2,20,48,6,3312925022.0,1.5063865000000192
integer-programming,2,20,48,7,1360073849.0,1.168323799999996
integer-programming,2,20,48,8,73853751.0,2.200876099999988
integer-programming,2,20,48,9,488171639.0,1.1836687999999924
integer-programming,2,22,16,0,0.0,0.5808541000000105
integer-programming,2,22,16,1,0.0,0.5672936999999934
integer-programming,2,22,16,2,1.0,0.20823120000000017
integer-programming,2,22,16,3,0.0,0.6097554999999772
integer-programming,2,22,16,4,0.0,0.8441282999999942
integer-programming,2,22,16,5,1.0,0.5762584999999945
integer-programming,2,22,16,6,1.0,0.28486230000001456
integer-programming,2,22,16,7,1.0,0.8275352999999939
integer-programming,2,22,16,8,0.0,0.4211249999999893
integer-programming,2,22,16,9,1.0,0.3582892999999956
integer-programming,2,22,24,0,22.0,20.782813599999997
integer-programming,2,22,24,1,41.0,8.098561700000005
integer-programming,2,22,24,2,8.0,19.469294599999984
integer-programming,2,22,24,3,29.0,1.5040923999999904
integer-programming,2,22,24,4,41.0,3.7334509000000082
integer-programming,2,22,24,5,40.0,4.010252000000008
integer-programming,2,22,24,6,23.0,2.1005271999999877
integer-programming,2,22,24,7,19.0,3.8368508000000077
integer-programming,2,22,24,8,67.0,4.576759999999979
integer-programming,2,22,24,9,12.0,13.464295300000003
integer-programming,2,22,32,0,568.0,18.99864739999998
integer-programming,2,22,32,1,5230.0,9.993448699999988
integer-programming,2,22,32,2,21350.0,2.8998761000000286
integer-programming,2,22,32,3,5838.0,9.408925599999975
integer-programming,2,22,32,4,16286.0,3.588159800000028
integer-programming,2,22,32,5,2565.0,31.710097400000052
integer-programming,2,22,48,0,741907281.0,39.04251350000004
integer-programming,2,24,16,0,0.0,0.25053499999995665
integer-programming,2,24,16,1,0.0,0.8518921000000432
integer-programming,2,24,16,2,0.0,0.5787295000000086
integer-programming,2,24,16,3,0.0,0.2553105000000073
integer-programming,2,24,16,4,1.0,0.2932425000000194
integer-programming,2,24,16,5,1.0,0.4427419000000441
integer-programming,2,24,16,6,1.0,0.3014039999999909
integer-programming,2,24,16,7,0.0,0.18449979999996913
integer-programming,2,24,16,8,1.0,0.3635428000000047
integer-programming,2,24,16,9,0.0,0.20798999999999523
integer-programming,2,24,24,0,17.0,49.54219770000003
integer-programming,2,26,16,0,1.0,0.2577608000000282
integer-programming,2,26,16,1,1.0,0.2668942999999899
integer-programming,2,26,16,2,1.0,0.05190120000003162
integer-programming,2,26,16,3,1.0,0.1299628999999527
integer-programming,2,26,16,4,0.0,0.18354249999998729
integer-programming,2,26,16,5,0.0,0.20492909999995845
integer-programming,2,26,16,6,1.0,0.1531436999999869
integer-programming,2,26,16,7,1.0,0.2268547999999555
integer-programming,2,26,16,8,1.0,0.5500567000000274
integer-programming,2,26,16,9,1.0,1.1452165000000036
integer-programming,2,28,16,0,0.0,0.2647252000000435
integer-programming,2,28,16,1,1.0,0.029687000000024
integer-programming,2,28,16,2,0.0,0.5781165000000215
integer-programming,2,28,16,3,1.0,0.2241746000000262
integer-programming,2,28,16,4,0.0,0.20401760000004288
integer-programming,2,28,16,5,0.0,0.38151790000000574
integer-programming,2,28,16,6,1.0,0.13063260000001264
integer-programming,2,28,16,7,1.0,0.2860099000000105
integer-programming,2,28,16,8,1.0,0.24813740000001872
integer-programming,2,28,16,9,1.0,0.013684999999952652
integer-programming,2,30,16,0,1.0,0.017483599999991384
integer-programming,2,30,16,1,1.0,0.23407519999994975
integer-programming,2,30,16,2,1.0,0.031631800000013754
integer-programming,2,30,16,3,0.0,0.34965019999998503
integer-programming,2,30,16,4,1.0,1.0382718000000182
integer-programming,2,30,16,5,0.0,0.02079079999998612
integer-programming,2,30,16,6,1.0,0.2146801000000096
