algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,3,14,12,3,18.0,0.9651732999999894
integer-programming,3,14,12,4,5.0,1.6705802999999975
integer-programming,3,14,12,5,7.0,1.9353425999999985
integer-programming,3,14,12,6,24.0,1.0702612000000045
integer-programming,3,14,12,7,10.0,1.5890806000000026
integer-programming,3,14,12,8,18.0,2.3666642000000024
integer-programming,3,14,12,9,28.0,1.823349399999998
integer-programming,3,14,16,0,585.0,1.5974436999999995
integer-programming,3,14,16,1,217.0,1.5998654999999928
integer-programming,3,14,16,2,272.0,1.7018843000000032
integer-programming,3,14,16,3,3350.0,2.3116846000000066
integer-programming,3,14,16,4,203.0,1.2313434
integer-programming,3,14,16,5,129.0,1.4471007000000071
integer-programming,3,14,16,6,1049.0,1.1562054999999987
integer-programming,3,14,16,7,346.0,1.1653617999999994
integer-programming,3,14,16,8,195.0,2.1224732000000017
integer-programming,3,14,16,9,50.0,1.583186800000007
integer-programming,3,16,8,0,1.0,4.517244599999998
integer-programming,3,16,8,1,1.0,5.692254399999996
integer-programming,3,16,8,2,1.0,6.9339417999999995
integer-programming,3,16,8,3,0.0,0.2581070999999895
integer-programming,3,16,8,4,1.0,11.750572999999989
integer-programming,3,16,8,5,1.0,3.454432799999978
integer-programming,3,16,8,6,1.0,5.362537599999996
integer-programming,3,16,8,7,1.0,1.8311484999999834
integer-programming,3,16,8,8,1.0,3.7199957999999924
integer-programming,3,16,8,9,1.0,5.716047900000007
integer-programming,3,16,10,0,1.0,4.549166100000008
integer-programming,3,16,10,1,1.0,2.6020680999999968
integer-programming,3,16,10,2,1.0,3.366573599999981
integer-programming,3,16,10,3,1.0,5.167065100000002
integer-programming,3,16,10,4,2.0,2.401092800000015
integer-programming,3,16,10,5,1.0,8.096196900000024
integer-programming,3,16,10,6,3.0,3.918315000000007
integer-programming,3,16,10,7,0.0,0.5504553999999757
integer-programming,3,16,10,8,1.0,6.492679799999991
integer-programming,3,16,10,9,1.0,5.250521899999995
integer-programming,3,16,12,0,4.0,3.284763599999991
integer-programming,3,16,12,1,4.0,7.136473499999994
integer-programming,3,16,12,2,5.0,2.524150800000001
integer-programming,3,16,12,3,4.0,3.775585800000016
