numitems,bitsperitem,instance_id,objective,use_lower_bound,diff,runtime
15,32,5,maximize-smallest-sum,False,191692.0,0.3593524000000005
15,32,5,maximize-smallest-sum,True,211123.0,0.0202165999999994
15,32,5,minimize-largest-sum,False,526695.0,0.3723717999999998
15,32,5,minimize-largest-sum,True,904644.0,0.0176808000000008
15,32,6,maximize-smallest-sum,False,574006.0,0.389418599999999
15,32,6,maximize-smallest-sum,True,799076.0,0.1142743999999993
15,32,6,minimize-largest-sum,False,234024.0,0.3759164999999989
15,32,6,minimize-largest-sum,True,25639.0,0.0197889999999993
15,32,7,maximize-smallest-sum,False,1016951.0,0.3959054000000002
15,32,7,maximize-smallest-sum,True,1155428.0,0.0551224999999995
15,32,7,minimize-largest-sum,False,804583.0,0.4093672999999995
15,32,7,minimize-largest-sum,True,344120.0,0.0092756000000022
15,32,8,maximize-smallest-sum,False,224153.0,0.3857503999999991
15,32,8,maximize-smallest-sum,True,1922805.0,0.0899058000000003
15,32,8,minimize-largest-sum,False,288256.0,0.3809865999999999
15,32,8,minimize-largest-sum,True,136509.0,0.0184598999999998
15,32,9,maximize-smallest-sum,False,76672.0,0.3776374999999987
15,32,9,maximize-smallest-sum,True,350359.0,0.0396003
15,32,9,minimize-largest-sum,False,321006.0,0.3815477999999999
15,32,9,minimize-largest-sum,True,121825.0,0.0348986999999993
15,48,0,maximize-smallest-sum,False,45929023988.0,0.3797773999999982
15,48,0,maximize-smallest-sum,True,47003547729.0,0.0897442999999995
15,48,0,minimize-largest-sum,False,125829533676.0,0.4459944
15,48,0,minimize-largest-sum,True,23173907485.0,0.0239401999999984
15,48,1,maximize-smallest-sum,False,39467353524.0,0.3886374999999979
15,48,1,maximize-smallest-sum,True,9732986973.0,0.1072364000000014
15,48,1,minimize-largest-sum,False,11304779531.0,0.4101947000000017
15,48,1,minimize-largest-sum,True,36055414314.0,0.0127173999999996
15,48,2,maximize-smallest-sum,False,27080344376.0,0.4344995000000011
15,48,2,maximize-smallest-sum,True,5769023316.0,0.0652778000000005
15,48,2,minimize-largest-sum,False,15977818241.0,0.4111499000000016
15,48,2,minimize-largest-sum,True,11748184453.0,0.0212912000000002
15,48,3,maximize-smallest-sum,False,44525809089.0,0.3905148999999994
15,48,3,maximize-smallest-sum,True,43612943567.0,0.055938600000001
15,48,3,minimize-largest-sum,False,62522649206.0,0.3823228000000007
15,48,3,minimize-largest-sum,True,98075643383.0,0.0173483999999994
15,48,4,maximize-smallest-sum,False,717047042.0,0.3766832000000022
15,48,4,maximize-smallest-sum,True,93639881996.0,0.0381992000000011
15,48,4,minimize-largest-sum,False,39162241340.0,0.412479900000001
15,48,4,minimize-largest-sum,True,151370704147.0,0.0221671000000007
15,48,5,maximize-smallest-sum,False,54592294697.0,0.4161041999999995
15,48,5,maximize-smallest-sum,True,54769454299.0,0.0272909999999981
15,48,5,minimize-largest-sum,False,67120054906.0,0.3863887999999988
15,48,5,minimize-largest-sum,True,16911733375.0,0.019222599999999
15,48,6,maximize-smallest-sum,False,46006268717.0,0.396481399999999
15,48,6,maximize-smallest-sum,True,166040508793.0,0.0306824999999975
15,48,6,minimize-largest-sum,False,35679082716.0,0.3911864000000022
15,48,6,minimize-largest-sum,True,105268310757.0,0.0129681999999995
15,48,7,maximize-smallest-sum,False,44317683883.0,0.3999702999999996
15,48,7,maximize-smallest-sum,True,36564218071.0,0.0473610999999998
15,48,7,minimize-largest-sum,False,39304929021.0,0.3777018000000005
15,48,7,minimize-largest-sum,True,12734840226.0,0.0213294999999966
