numitems,bitsperitem,instance_id,objective,use_lower_bound,diff,runtime
25,48,2,minimize-largest-sum,True,29944043.0,10.8336769
20,32,9,maximize-smallest-sum,False,12343.0,10.809652400000004
20,48,9,maximize-smallest-sum,False,431418167.0,10.808502599999997
20,48,0,maximize-smallest-sum,False,2093335974.0,10.794376499999998
20,32,6,maximize-smallest-sum,False,2013.0,10.783879500000012
20,32,8,maximize-smallest-sum,False,57081.0,10.77558799999997
20,48,1,maximize-smallest-sum,False,1131876157.0,10.75100100000003
20,48,6,maximize-smallest-sum,False,165904814.0,10.70404259999998
20,48,5,maximize-smallest-sum,False,3174604799.0,10.698631799999987
25,16,7,minimize-largest-sum,True,0.0,10.261619200000041
25,48,3,maximize-smallest-sum,True,154478497.0,10.075884100000167
25,48,0,minimize-largest-sum,False,11778928.0,9.94978130000004
25,16,9,minimize-largest-sum,True,0.0,9.947746099999904
25,32,8,minimize-largest-sum,True,666.0,9.828013199999987
25,16,0,minimize-largest-sum,True,1.0,9.275233599999979
25,16,2,minimize-largest-sum,True,0.0,8.80088319999993
25,32,3,maximize-smallest-sum,True,1295.0,8.576321000000007
25,48,1,minimize-largest-sum,True,59998622.0,7.816218600000184
25,48,7,minimize-largest-sum,True,63021034.0,7.768203399999948
25,48,8,minimize-largest-sum,True,2288826.0,7.588036599999896
25,48,1,maximize-smallest-sum,True,7211735.0,7.581099700000095
25,32,6,minimize-largest-sum,True,3868.0,7.171078800000032
25,32,2,minimize-largest-sum,True,1130.0,6.674582399999963
25,16,6,minimize-largest-sum,True,1.0,6.1117375999999695
25,48,4,minimize-largest-sum,True,29121993.0,5.7939450999999735
25,48,9,minimize-largest-sum,True,26448092.0,4.564113599999928
25,16,8,minimize-largest-sum,True,0.0,3.6952532000000247
25,16,1,minimize-largest-sum,True,0.0,3.690321699999913
20,16,7,minimize-largest-sum,False,0.0,2.389922999999996
20,16,2,minimize-largest-sum,False,0.0,2.355336600000001
25,16,1,maximize-smallest-sum,True,0.0,2.088654799999972
20,32,5,maximize-smallest-sum,True,2121.0,1.9077522999999985
20,32,2,maximize-smallest-sum,True,27091.0,1.8132209000000046
20,32,1,minimize-largest-sum,False,4454.0,1.6546781000000124
20,48,8,minimize-largest-sum,False,148741340.0,1.6249970999999732
20,16,0,minimize-largest-sum,False,1.0,1.5872127999999996
20,48,1,minimize-largest-sum,False,5032850138.0,1.5810819000000151
20,32,0,maximize-smallest-sum,True,8920.0,1.5302954
20,48,4,minimize-largest-sum,False,198836798.0,1.4900280999999609
20,16,5,minimize-largest-sum,False,0.0,1.4501011999999918
20,48,9,minimize-largest-sum,False,2084830530.0,1.3632749000000217
20,16,6,minimize-largest-sum,False,0.0,1.3552272000000016
20,32,2,minimize-largest-sum,False,665.0,1.3499386999999956
20,32,5,minimize-largest-sum,False,1125.0,1.3016489000000036
20,16,8,minimize-largest-sum,False,1.0,1.2694394999999759
20,16,8,maximize-smallest-sum,True,0.0,1.243329899999992
20,16,3,minimize-largest-sum,False,1.0,1.2329782000000051
20,32,6,minimize-largest-sum,False,15418.0,1.2094845999999961
20,48,4,minimize-largest-sum,True,109537989.0,1.204485200000022
20,48,0,minimize-largest-sum,False,1890505589.0,1.1520816999999965
20,16,1,minimize-largest-sum,False,0.0,1.1496023999999991
20,32,4,minimize-largest-sum,False,6153.0,1.10809789999999
20,48,6,maximize-smallest-sum,True,10936405899.0,1.0724968000000104
20,32,9,minimize-largest-sum,False,20275.0,1.0633549999999445
20,32,8,minimize-largest-sum,False,3067.0,1.033123699999976
20,48,3,minimize-largest-sum,False,1346995604.0,1.0325080999999727
20,48,6,minimize-largest-sum,False,6393693469.0,0.9812770999999998
20,16,4,minimize-largest-sum,False,1.0,0.9646304000000043
20,48,3,maximize-smallest-sum,True,1083504574.0,0.9528010000000222
20,48,0,maximize-smallest-sum,True,1123296854.0,0.9489989000000492
20,48,7,minimize-largest-sum,False,143297424.0,0.9063077000000135
20,16,7,maximize-smallest-sum,True,1.0,0.9041490000000039
20,48,2,minimize-largest-sum,False,248962117.0,0.900143700000001
20,16,5,maximize-smallest-sum,True,1.0,0.8657036000000033
20,48,5,minimize-largest-sum,False,3662492929.0,0.8649209000000155
