numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
10,12,recursive-number-partitioning-sy,4,7,370.0,0.019996700000007195
10,12,recursive-number-partitioning-sy,4,8,1198.0,0.027689699999996265
10,12,recursive-number-partitioning-sy,4,9,339.0,0.02434389999999098
10,16,recursive-number-partitioning-kg,2,0,84.0,0.002034600000001774
10,16,recursive-number-partitioning-kg,2,1,1384.0,0.00315330000000813
10,16,recursive-number-partitioning-kg,2,2,1256.0,0.0018880000000081054
10,16,recursive-number-partitioning-kg,2,3,1120.0,0.003506999999984828
10,16,recursive-number-partitioning-kg,2,4,935.0,0.0035596000000168715
10,16,recursive-number-partitioning-kg,2,5,1070.0,0.002811299999990524
10,16,recursive-number-partitioning-kg,2,6,571.0,0.0020093999999915013
10,16,recursive-number-partitioning-kg,2,7,5681.0,0.003512099999994689
10,16,recursive-number-partitioning-kg,2,8,196.0,0.0017510999999785781
10,16,recursive-number-partitioning-kg,2,9,940.0,0.0037523999999962143
10,16,recursive-number-partitioning-sy,2,0,29.0,0.004738199999991366
10,16,recursive-number-partitioning-sy,2,1,155.0,0.003269899999992276
10,16,recursive-number-partitioning-sy,2,2,212.0,0.005001299999975117
10,16,recursive-number-partitioning-sy,2,3,910.0,0.004725200000024188
10,16,recursive-number-partitioning-sy,2,4,83.0,0.0059978000000171505
10,16,recursive-number-partitioning-sy,2,5,699.0,0.004472499999991442
10,16,recursive-number-partitioning-sy,2,6,98.0,0.0016371999999762465
10,16,recursive-number-partitioning-sy,2,7,7.0,0.0052553999999815915
10,16,recursive-number-partitioning-sy,2,8,59.0,0.004223100000018576
10,16,recursive-number-partitioning-sy,2,9,203.0,0.0053705999999920095
10,16,recursive-number-partitioning-sy,3,0,4386.0,0.004232699999988654
10,16,recursive-number-partitioning-sy,3,1,4246.0,0.005028799999990952
10,16,recursive-number-partitioning-sy,3,2,671.0,0.0060007999999811545
10,16,recursive-number-partitioning-sy,3,3,324.0,0.002619800000019268
10,16,recursive-number-partitioning-sy,3,4,2007.0,0.0054370999999946434
10,16,recursive-number-partitioning-sy,3,5,1918.0,0.012900500000000648
10,16,recursive-number-partitioning-sy,3,6,967.0,0.002993599999996377
10,16,recursive-number-partitioning-sy,3,7,1606.0,0.0029997999999977765
