numitems,bitsperitem,instance_id,objective,use_heuristic_2,use_heuristic_3,use_lower_bound,diff,runtime
10,16,0,minimize-largest-sum,False,False,False,187.0,0.0156263999999997
10,16,0,minimize-largest-sum,False,False,True,1.0,0.0028147999999998
10,16,0,minimize-largest-sum,False,True,False,108.0,0.0038743000000001
10,16,0,minimize-largest-sum,False,True,True,138.0,0.0010656999999998
10,16,0,minimize-largest-sum,True,False,False,661.0,0.0011565999999998
10,16,0,minimize-largest-sum,True,False,True,69.0,0.0016428999999997
10,16,0,minimize-largest-sum,True,True,False,218.0,0.0019569999999999
10,16,0,minimize-largest-sum,True,True,True,162.0,0.0026863000000001
10,16,1,minimize-largest-sum,False,False,False,117.0,0.0154829000000003
10,16,1,minimize-largest-sum,False,False,True,13.0,0.0021011999999998
10,16,1,minimize-largest-sum,False,True,False,17.0,0.0026115999999998
10,16,1,minimize-largest-sum,False,True,True,46.0,0.0027598000000002
10,16,1,minimize-largest-sum,True,False,False,223.0,0.0025357999999999
10,16,1,minimize-largest-sum,True,False,True,260.0,0.0045386999999998
10,16,1,minimize-largest-sum,True,True,False,339.0,0.0045159000000003
10,16,1,minimize-largest-sum,True,True,True,135.0,0.0045915
10,16,2,minimize-largest-sum,False,False,False,779.0,0.0205391999999999
10,16,2,minimize-largest-sum,False,False,True,7.0,0.0035418000000002
10,16,2,minimize-largest-sum,False,True,False,426.0,0.0097304
10,16,2,minimize-largest-sum,False,True,True,32.0,0.0066961
10,16,2,minimize-largest-sum,True,False,False,114.0,0.0017943999999996
10,16,2,minimize-largest-sum,True,False,True,373.0,0.0010618999999998
10,16,2,minimize-largest-sum,True,True,False,1078.0,0.0010145000000001
10,16,2,minimize-largest-sum,True,True,True,355.0,0.0039782999999999
10,16,3,minimize-largest-sum,False,False,False,268.0,0.0208675
10,16,3,minimize-largest-sum,False,False,True,112.0,0.0029856999999999
10,16,3,minimize-largest-sum,False,True,False,84.0,0.0061338000000001
10,16,3,minimize-largest-sum,False,True,True,573.0,0.0025398
10,16,3,minimize-largest-sum,True,False,False,68.0,0.0023159000000001
10,16,3,minimize-largest-sum,True,False,True,1752.0,0.0014095000000002
10,16,3,minimize-largest-sum,True,True,False,143.0,0.0017346000000002
10,16,3,minimize-largest-sum,True,True,True,1168.0,0.0025322
10,16,4,minimize-largest-sum,False,False,False,252.0,0.0179264999999997
10,16,4,minimize-largest-sum,False,False,True,169.0,0.0020565000000001
10,16,4,minimize-largest-sum,False,True,False,2179.0,0.0038567
10,16,4,minimize-largest-sum,False,True,True,67.0,0.0043744000000001
10,16,4,minimize-largest-sum,True,False,False,12.0,0.0018063999999999
10,16,4,minimize-largest-sum,True,False,True,104.0,0.0033669
10,16,4,minimize-largest-sum,True,True,False,166.0,0.0031400000000001
10,16,4,minimize-largest-sum,True,True,True,370.0,0.0018055000000001
10,16,5,minimize-largest-sum,False,False,False,534.0,0.0183930999999999
10,16,5,minimize-largest-sum,False,False,True,368.0,0.0033487
10,16,5,minimize-largest-sum,False,True,False,123.0,0.0028181999999996
10,16,5,minimize-largest-sum,False,True,True,571.0,0.0033117000000002
10,16,5,minimize-largest-sum,True,False,False,806.0,0.0024620999999998
10,16,5,minimize-largest-sum,True,False,True,159.0,0.0011003999999998
10,16,5,minimize-largest-sum,True,True,False,154.0,0.0012193999999996
10,16,5,minimize-largest-sum,True,True,True,282.0,0.0019801999999997
10,16,6,minimize-largest-sum,False,False,False,785.0,0.0173719000000001
10,16,6,minimize-largest-sum,False,False,True,249.0,0.0030405
10,16,6,minimize-largest-sum,False,True,False,239.0,0.0024092999999996
10,16,6,minimize-largest-sum,False,True,True,82.0,0.0042718999999999
10,16,6,minimize-largest-sum,True,False,False,39.0,0.0026894999999997
10,16,6,minimize-largest-sum,True,False,True,139.0,0.0028723000000003
10,16,6,minimize-largest-sum,True,True,False,263.0,0.0020160000000002
10,16,6,minimize-largest-sum,True,True,True,718.0,0.0056685
10,16,7,minimize-largest-sum,False,False,False,5.0,0.0302109999999999
10,16,7,minimize-largest-sum,False,False,True,153.0,0.0046552000000001
10,16,7,minimize-largest-sum,False,True,False,66.0,0.008302
10,16,7,minimize-largest-sum,False,True,True,1292.0,0.0014205
10,16,7,minimize-largest-sum,True,False,False,57.0,0.0022931999999999
10,16,7,minimize-largest-sum,True,False,True,2529.0,0.0021935000000001
10,16,7,minimize-largest-sum,True,True,False,101.0,0.0042959000000002
10,16,7,minimize-largest-sum,True,True,True,2341.0,0.0014433999999998
10,16,8,minimize-largest-sum,False,False,False,96.0,0.0198451000000003
10,16,8,minimize-largest-sum,False,False,True,892.0,0.0018365999999998
10,16,8,minimize-largest-sum,False,True,False,143.0,0.0032334999999998
10,16,8,minimize-largest-sum,False,True,True,214.0,0.0019027
10,16,8,minimize-largest-sum,True,False,False,147.0,0.0016622000000001
10,16,8,minimize-largest-sum,True,False,True,353.0,0.0009854000000002
10,16,8,minimize-largest-sum,True,True,False,1882.0,0.0041178999999997
10,16,8,minimize-largest-sum,True,True,True,218.0,0.0013808000000001
10,16,9,minimize-largest-sum,False,False,False,277.0,0.0190182999999999
10,16,9,minimize-largest-sum,False,False,True,208.0,0.0055638
10,16,9,minimize-largest-sum,False,True,False,97.0,0.0060432999999999
10,16,9,minimize-largest-sum,False,True,True,79.0,0.0037351999999999
10,16,9,minimize-largest-sum,True,False,False,680.0,0.0019784
10,16,9,minimize-largest-sum,True,False,True,1090.0,0.0028386999999998
10,16,9,minimize-largest-sum,True,True,False,362.0,0.0015665999999998
10,16,9,minimize-largest-sum,True,True,True,479.0,0.0017952999999999
10,32,0,minimize-largest-sum,False,False,False,5179911.0,0.0174969999999996
10,32,0,minimize-largest-sum,False,False,True,11226790.0,0.0063168
10,32,0,minimize-largest-sum,False,True,False,122111938.0,0.0038154000000001
