numitems,bitsperitem,instance_id,objective,use_boolean_matrix,diff,runtime
10,12,6,minimize-largest-sum,False,7,0.0007616000000325585
10,12,6,maximize-smallest-sum,False,9,0.0007806000000414315
10,12,7,minimize-largest-sum,False,1,0.0007448000000067623
10,12,7,maximize-smallest-sum,False,1,0.0007810000000176842
10,12,8,minimize-largest-sum,False,10,0.0011607000000140033
10,12,8,maximize-smallest-sum,False,6,0.0007356999999501568
10,12,9,minimize-largest-sum,False,36,0.0007486000000085369
10,12,9,maximize-smallest-sum,False,322,0.000738599999976941
10,16,0,minimize-largest-sum,False,35,0.0008007999999790627
10,16,0,maximize-smallest-sum,False,541,0.0007795000000214714
10,16,1,minimize-largest-sum,False,355,0.0008075000000076216
10,16,1,maximize-smallest-sum,False,537,0.0008933999999953812
10,16,2,minimize-largest-sum,False,127,0.0011597999999821695
10,16,2,maximize-smallest-sum,False,419,0.0007602999999676285
10,16,3,minimize-largest-sum,False,181,0.0007581000000413951
10,16,3,maximize-smallest-sum,False,134,0.0007757000000196967
10,16,4,minimize-largest-sum,False,567,0.0009800999999924898
10,16,4,maximize-smallest-sum,False,262,0.0007810999999833257
10,16,5,minimize-largest-sum,False,0,0.0007777999999802887
10,16,5,maximize-smallest-sum,False,304,0.0013364999999794236
10,16,6,minimize-largest-sum,False,193,0.0007702000000335829
10,16,6,maximize-smallest-sum,False,38,0.0007716000000073109
10,16,7,minimize-largest-sum,False,202,0.0007560000000239597
10,16,7,maximize-smallest-sum,False,166,0.0008315000000038708
10,16,8,minimize-largest-sum,False,109,0.0007550000000264845
10,16,8,maximize-smallest-sum,False,5,0.0007566000000451822
10,16,9,minimize-largest-sum,False,245,0.0007646999999906257
10,16,9,maximize-smallest-sum,False,73,0.0007636000000275089
10,20,0,minimize-largest-sum,False,10854,0.0007628000000181601
10,20,0,maximize-smallest-sum,False,583,0.0007663999999749649
10,20,1,minimize-largest-sum,False,5318,0.0007558000000358334
10,20,1,maximize-smallest-sum,False,503,0.000764199999991888
10,20,2,minimize-largest-sum,False,11795,0.000816100000008646
10,20,2,maximize-smallest-sum,False,2477,0.0007739000000128726
10,20,3,minimize-largest-sum,False,5133,0.00122279999999364
10,20,3,maximize-smallest-sum,False,1095,0.0007729000000153974
10,20,4,minimize-largest-sum,False,4205,0.0007640999999694031
10,20,4,maximize-smallest-sum,False,6976,0.0007701999999767395
10,20,5,minimize-largest-sum,False,4607,0.0007616999999981999
10,20,5,maximize-smallest-sum,False,9103,0.0007669000000305459
10,20,6,minimize-largest-sum,False,4037,0.0014668999999685184
10,20,6,maximize-smallest-sum,False,38,0.0007706000000098356
10,20,7,minimize-largest-sum,False,4008,0.0014784999999619686
10,20,7,maximize-smallest-sum,False,3240,0.0008202000000210319
10,20,8,minimize-largest-sum,False,6588,0.0007530999999971755
10,20,8,maximize-smallest-sum,False,5071,0.0007694999999898755
10,20,9,minimize-largest-sum,False,1543,0.0011472999999568856
10,20,9,maximize-smallest-sum,False,7902,0.000791899999967427
12,4,0,minimize-largest-sum,False,1,0.0003368000000136817
12,4,0,minimize-largest-sum,True,0,0.01527889999999843
12,4,0,maximize-smallest-sum,False,0,0.00029869999997345076
12,4,0,maximize-smallest-sum,True,1,0.007664899999952013
12,4,1,minimize-largest-sum,False,1,0.0003209999999853608
12,4,1,minimize-largest-sum,True,1,0.009733799999992243
12,4,1,maximize-smallest-sum,False,1,0.00030509999999139836
12,4,1,maximize-smallest-sum,True,0,0.00781989999995858
12,4,2,minimize-largest-sum,False,0,0.0003148999999780244
12,4,2,minimize-largest-sum,True,1,0.010933500000021468
12,4,2,maximize-smallest-sum,False,0,0.00034299999998665953
12,4,2,maximize-smallest-sum,True,0,0.009880699999996523
12,4,3,minimize-largest-sum,False,1,0.00028090000000702275
12,4,3,minimize-largest-sum,True,0,0.007143399999961275
12,4,3,maximize-smallest-sum,False,0,0.0003126999999949476
12,4,3,maximize-smallest-sum,True,0,0.014138600000023871
12,4,4,minimize-largest-sum,False,0,0.00033460000003060486
12,4,4,minimize-largest-sum,True,0,0.011104900000020734
12,4,4,maximize-smallest-sum,False,0,0.000394999999969059
12,4,4,maximize-smallest-sum,True,1,0.014308700000015051
12,4,5,minimize-largest-sum,False,1,0.0005249999999819011
12,4,5,minimize-largest-sum,True,1,0.009355700000014622
12,4,5,maximize-smallest-sum,False,1,0.0003188999999679254
12,4,5,maximize-smallest-sum,True,1,0.017932200000018383
12,4,6,minimize-largest-sum,False,1,0.00031360000002678134
12,4,6,minimize-largest-sum,True,1,0.007322600000009061
12,4,6,maximize-smallest-sum,False,1,0.0003676000000041313
12,4,6,maximize-smallest-sum,True,1,0.008510699999987992
