numitems,bitsperitem,instance_id,objective,use_lower_bound,use_fast_lower_bound,use_set_of_seen_states,use_dynamic_programming,diff,runtime
10,16,2,minimize-largest-sum,False,False,True,False,13.0,0.0049430999999997
10,16,2,minimize-largest-sum,False,True,False,False,1365.0,0.000814
10,16,2,minimize-largest-sum,False,True,True,False,1423.0,0.0014802
10,16,2,minimize-largest-sum,True,False,False,False,95.0,0.0024915
10,16,2,minimize-largest-sum,True,False,True,False,66.0,0.0016255999999996
10,16,2,minimize-largest-sum,True,True,False,False,359.0,0.0009475000000001
10,16,2,minimize-largest-sum,True,True,True,False,11.0,0.0015871999999998
10,16,2,maximize-smallest-sum,False,False,False,False,309.0,0.0054064
10,16,2,maximize-smallest-sum,False,False,True,False,124.0,0.0073365999999999
10,16,2,maximize-smallest-sum,False,True,False,False,21.0,0.0006823000000002
10,16,2,maximize-smallest-sum,False,True,True,False,710.0,0.0007775000000003
10,16,2,maximize-smallest-sum,True,False,False,False,1206.0,0.0014407999999996
10,16,2,maximize-smallest-sum,True,False,True,False,588.0,0.0020696999999998
10,16,2,maximize-smallest-sum,True,True,False,False,25.0,0.0010930999999998
10,16,2,maximize-smallest-sum,True,True,True,False,39.0,0.0008477
10,16,3,minimize-largest-sum,False,False,False,False,73.0,0.0047712999999998
10,16,3,minimize-largest-sum,False,False,True,False,531.0,0.0048442999999998
10,16,3,minimize-largest-sum,False,True,False,False,372.0,0.0007385000000001
10,16,3,minimize-largest-sum,False,True,True,False,583.0,0.0009489
10,16,3,minimize-largest-sum,True,False,False,False,129.0,0.0012475999999996
10,16,3,minimize-largest-sum,True,False,True,False,821.0,0.0016156
10,16,3,minimize-largest-sum,True,True,False,False,40.0,0.0012781999999997
10,16,3,minimize-largest-sum,True,True,True,False,116.0,0.0012782000000002
10,16,3,maximize-smallest-sum,False,False,False,False,360.0,0.0050278000000001
10,16,3,maximize-smallest-sum,False,False,True,False,79.0,0.0053640000000001
10,16,3,maximize-smallest-sum,False,True,False,False,39.0,0.0005479999999997
10,16,3,maximize-smallest-sum,False,True,True,False,187.0,0.0006528999999999
10,16,3,maximize-smallest-sum,True,False,False,False,119.0,0.0010352
10,16,3,maximize-smallest-sum,True,False,True,False,74.0,0.0014967999999999
10,16,3,maximize-smallest-sum,True,True,False,False,485.0,0.0012919
10,16,3,maximize-smallest-sum,True,True,True,False,249.0,0.0010124
10,16,4,minimize-largest-sum,False,False,False,False,300.0,0.0043459000000001
10,16,4,minimize-largest-sum,False,False,True,False,34.0,0.0050474999999998
10,16,4,minimize-largest-sum,False,True,False,False,396.0,0.0005616000000001
10,16,4,minimize-largest-sum,False,True,True,False,2007.0,0.0004109999999997
10,16,4,minimize-largest-sum,True,False,False,False,256.0,0.0014397999999999
10,16,4,minimize-largest-sum,True,False,True,False,4.0,0.0011659000000001
10,16,4,minimize-largest-sum,True,True,False,False,1385.0,0.0011347999999999
10,16,4,minimize-largest-sum,True,True,True,False,343.0,0.000903
10,16,4,maximize-smallest-sum,False,False,False,False,171.0,0.0044144999999997
10,16,4,maximize-smallest-sum,False,False,True,False,171.0,0.0052763999999996
10,16,4,maximize-smallest-sum,False,True,False,False,46.0,0.0012528
10,16,4,maximize-smallest-sum,False,True,True,False,19.0,0.0014938999999998
10,16,4,maximize-smallest-sum,True,False,False,False,280.0,0.0033068000000002
10,16,4,maximize-smallest-sum,True,False,True,False,104.0,0.0042846999999999
10,16,4,maximize-smallest-sum,True,True,False,False,68.0,0.0027124999999998
10,16,4,maximize-smallest-sum,True,True,True,False,613.0,0.0023547999999999
10,16,5,minimize-largest-sum,False,False,False,False,38.0,0.0080819
10,16,5,minimize-largest-sum,False,False,True,False,80.0,0.0050736000000002
10,16,5,minimize-largest-sum,False,True,False,False,263.0,0.0003229999999998
10,16,5,minimize-largest-sum,False,True,True,False,94.0,0.0005880999999998
10,16,5,minimize-largest-sum,True,False,False,False,298.0,0.0011548000000001
10,16,5,minimize-largest-sum,True,False,True,False,61.0,0.0011750000000003
10,16,5,minimize-largest-sum,True,True,False,False,597.0,0.0010338999999999
10,16,5,minimize-largest-sum,True,True,True,False,30.0,0.0007665999999999
10,16,5,maximize-smallest-sum,False,False,False,False,33.0,0.0049095000000001
10,16,5,maximize-smallest-sum,False,False,True,False,815.0,0.0052114999999997
10,16,5,maximize-smallest-sum,False,True,False,False,1141.0,0.0005120999999999
10,16,5,maximize-smallest-sum,False,True,True,False,821.0,0.0010015
10,16,5,maximize-smallest-sum,True,False,False,False,625.0,0.0011839999999998
10,16,5,maximize-smallest-sum,True,False,True,False,25.0,0.0013467999999998
10,16,5,maximize-smallest-sum,True,True,False,False,4.0,0.0010675999999998
10,16,5,maximize-smallest-sum,True,True,True,False,371.0,0.0011950999999998
10,16,6,minimize-largest-sum,False,False,False,False,220.0,0.0043636
10,16,6,minimize-largest-sum,False,False,True,False,677.0,0.0046995
10,16,6,minimize-largest-sum,False,True,False,False,6.0,0.0006376999999999
10,16,6,minimize-largest-sum,False,True,True,False,114.0,0.0003742999999998
10,16,6,minimize-largest-sum,True,False,False,False,232.0,0.0011627
10,16,6,minimize-largest-sum,True,False,True,False,317.0,0.0006616999999997
10,16,6,minimize-largest-sum,True,True,False,False,360.0,0.0008112000000002
10,16,6,minimize-largest-sum,True,True,True,False,91.0,0.0014737
10,16,6,maximize-smallest-sum,False,False,False,False,595.0,0.0044444000000001
10,16,6,maximize-smallest-sum,False,False,True,False,252.0,0.0047265999999996
