numitems,bitsperitem,instance_id,objective,use_heuristic_2,use_heuristic_3,use_lower_bound,diff,runtime
10,16,0,minimize-largest-sum,False,True,False,471.0,0.0046559999999999
10,16,0,minimize-largest-sum,False,True,True,229.0,0.0033258999999999
10,16,0,minimize-largest-sum,False,False,False,124.0,0.0244813
10,16,0,minimize-largest-sum,False,False,True,324.0,0.0035385
10,16,0,minimize-largest-sum,True,True,False,309.0,0.0018086999999999
10,16,0,minimize-largest-sum,True,True,True,165.0,0.0026862
10,16,0,minimize-largest-sum,True,False,False,147.0,0.0016872999999999
10,16,0,minimize-largest-sum,True,False,True,209.0,0.0014691
10,16,0,maximize-smallest-sum,False,True,False,1040.0,0.0214680999999999
10,16,0,maximize-smallest-sum,False,True,True,164.0,0.0019361999999999
10,16,0,maximize-smallest-sum,False,False,False,604.0,0.0201835999999999
10,16,0,maximize-smallest-sum,False,False,True,231.0,0.0037493999999999
10,16,0,maximize-smallest-sum,True,True,False,237.0,0.0015633999999999
10,16,0,maximize-smallest-sum,True,True,True,97.0,0.0020146
10,16,0,maximize-smallest-sum,True,False,False,1218.0,0.0018523
10,16,0,maximize-smallest-sum,True,False,True,292.0,0.0033699
10,16,1,minimize-largest-sum,False,True,False,416.0,0.0088196999999999
10,16,1,minimize-largest-sum,False,True,True,395.0,0.0035564000000001
10,16,1,minimize-largest-sum,False,False,False,550.0,0.0129941999999998
10,16,1,minimize-largest-sum,False,False,True,534.0,0.0035559999999998
10,16,1,minimize-largest-sum,True,True,False,24.0,0.0018856
10,16,1,minimize-largest-sum,True,True,True,476.0,0.0029129000000001
10,16,1,minimize-largest-sum,True,False,False,1162.0,0.0025040999999998
10,16,1,minimize-largest-sum,True,False,True,410.0,0.0026791999999999
10,16,1,maximize-smallest-sum,False,True,False,115.0,0.0221865999999999
10,16,1,maximize-smallest-sum,False,True,True,176.0,0.0058970999999998
10,16,1,maximize-smallest-sum,False,False,False,462.0,0.0129798
10,16,1,maximize-smallest-sum,False,False,True,55.0,0.0033398
10,16,1,maximize-smallest-sum,True,True,False,111.0,0.0010413
10,16,1,maximize-smallest-sum,True,True,True,1279.0,0.0046656999999998
10,16,1,maximize-smallest-sum,True,False,False,83.0,0.0009222999999998
10,16,1,maximize-smallest-sum,True,False,True,309.0,0.0017808999999999
10,16,2,minimize-largest-sum,False,True,False,218.0,0.0034529
10,16,2,minimize-largest-sum,False,True,True,6.0,0.0035671000000001
10,16,2,minimize-largest-sum,False,False,False,170.0,0.0154447000000002
10,16,2,minimize-largest-sum,False,False,True,219.0,0.0019704
10,16,2,minimize-largest-sum,True,True,False,133.0,0.0035464
10,16,2,minimize-largest-sum,True,True,True,12.0,0.0016092
10,16,2,minimize-largest-sum,True,False,False,190.0,0.0014606000000001
10,16,2,minimize-largest-sum,True,False,True,618.0,0.0010501
10,16,2,maximize-smallest-sum,False,True,False,66.0,0.0136445
10,16,2,maximize-smallest-sum,False,True,True,119.0,0.0049455999999998
10,16,2,maximize-smallest-sum,False,False,False,176.0,0.0133311999999998
10,16,2,maximize-smallest-sum,False,False,True,209.0,0.0069036
10,16,2,maximize-smallest-sum,True,True,False,591.0,0.0031498
10,16,2,maximize-smallest-sum,True,True,True,202.0,0.0035680999999998
10,16,2,maximize-smallest-sum,True,False,False,612.0,0.0008321999999998
10,16,2,maximize-smallest-sum,True,False,True,306.0,0.0012156
10,16,3,minimize-largest-sum,False,True,False,136.0,0.002358
10,16,3,minimize-largest-sum,False,True,True,101.0,0.0049692999999999
10,16,3,minimize-largest-sum,False,False,False,443.0,0.0129513999999999
10,16,3,minimize-largest-sum,False,False,True,1895.0,0.0016833999999998
10,16,3,minimize-largest-sum,True,True,False,22.0,0.0020200999999999
10,16,3,minimize-largest-sum,True,True,True,1477.0,0.0024109000000001
10,16,3,minimize-largest-sum,True,False,False,188.0,0.0010461999999999
10,16,3,minimize-largest-sum,True,False,True,81.0,0.0060497999999999
10,16,3,maximize-smallest-sum,False,True,False,119.0,0.0140141
10,16,3,maximize-smallest-sum,False,True,True,74.0,0.0014975999999999
10,16,3,maximize-smallest-sum,False,False,False,0.0,0.0080362
10,16,3,maximize-smallest-sum,False,False,True,185.0,0.0023887
10,16,3,maximize-smallest-sum,True,True,False,285.0,0.0020700999999998
10,16,3,maximize-smallest-sum,True,True,True,113.0,0.0008341
10,16,3,maximize-smallest-sum,True,False,False,28.0,0.0032328999999999
10,16,3,maximize-smallest-sum,True,False,True,737.0,0.0014712000000001
10,16,4,minimize-largest-sum,False,True,False,382.0,0.0045481999999998
10,16,4,minimize-largest-sum,False,True,True,248.0,0.0018029999999999
10,16,4,minimize-largest-sum,False,False,False,441.0,0.0135835999999998
10,16,4,minimize-largest-sum,False,False,True,879.0,0.0024325
10,16,4,minimize-largest-sum,True,True,False,9.0,0.0024775999999999
10,16,4,minimize-largest-sum,True,True,True,215.0,0.0027861
10,16,4,minimize-largest-sum,True,False,False,66.0,0.0012634
10,16,4,minimize-largest-sum,True,False,True,248.0,0.0015585
10,16,4,maximize-smallest-sum,False,True,False,410.0,0.0234992999999998
10,16,4,maximize-smallest-sum,False,True,True,368.0,0.0057950999999998
10,16,4,maximize-smallest-sum,False,False,False,20.0,0.0262501000000001
10,16,4,maximize-smallest-sum,False,False,True,450.0,0.0017363999999999713
10,16,4,maximize-smallest-sum,True,True,False,170.0,0.001173100000000038
10,16,4,maximize-smallest-sum,True,True,True,3.0,0.00503409999999993
10,16,4,maximize-smallest-sum,True,False,False,351.0,0.001526699999999992
10,16,4,maximize-smallest-sum,True,False,True,1058.0,0.0019749000000000017
10,16,5,minimize-largest-sum,False,True,False,92.0,0.0013106000000000506
10,16,5,minimize-largest-sum,False,True,True,306.0,0.0036447999999997815
10,16,5,minimize-largest-sum,False,False,False,64.0,0.014415499999999914
10,16,5,minimize-largest-sum,False,False,True,76.0,0.004120200000000018
10,16,5,minimize-largest-sum,True,True,False,1268.0,0.006427300000000136
10,16,5,minimize-largest-sum,True,True,True,1023.0,0.004223499999999936
10,16,5,minimize-largest-sum,True,False,False,162.0,0.0016272000000001619
10,16,5,minimize-largest-sum,True,False,True,93.0,0.002705399999999969
10,16,5,maximize-smallest-sum,False,True,False,56.0,0.023300499999999946
10,16,5,maximize-smallest-sum,False,True,True,26.0,0.002531499999999909
10,16,5,maximize-smallest-sum,False,False,False,714.0,0.01658589999999993
10,16,5,maximize-smallest-sum,False,False,True,92.0,0.0046568000000000165
10,16,5,maximize-smallest-sum,True,True,False,494.0,0.001417900000000083
10,16,5,maximize-smallest-sum,True,True,True,332.0,0.003824400000000061
10,16,5,maximize-smallest-sum,True,False,False,320.0,0.0018880999999999482
10,16,5,maximize-smallest-sum,True,False,True,124.0,0.002828300000000006
10,16,6,minimize-largest-sum,False,True,False,322.0,0.002734699999999979
10,16,6,minimize-largest-sum,False,True,True,192.0,0.0020439999999999348
10,16,6,minimize-largest-sum,False,False,False,257.0,0.015277899999999844
10,16,6,minimize-largest-sum,False,False,True,135.0,0.0031980999999998705
10,16,6,minimize-largest-sum,True,True,False,1176.0,0.0028516999999999015
10,16,6,minimize-largest-sum,True,True,True,200.0,0.0013013000000001718
10,16,6,minimize-largest-sum,True,False,False,57.0,0.0012334999999998875
10,16,6,minimize-largest-sum,True,False,True,157.0,0.001378199999999996
10,16,6,maximize-smallest-sum,False,True,False,237.0,0.018897799999999965
10,16,6,maximize-smallest-sum,False,True,True,46.0,0.002944899999999917
10,16,6,maximize-smallest-sum,False,False,False,167.0,0.013715800000000167
10,16,6,maximize-smallest-sum,False,False,True,1043.0,0.002210999999999963
10,16,6,maximize-smallest-sum,True,True,False,235.0,0.0019271000000000704
10,16,6,maximize-smallest-sum,True,True,True,550.0,0.002253900000000142
10,16,6,maximize-smallest-sum,True,False,False,246.0,0.001727800000000057
10,16,6,maximize-smallest-sum,True,False,True,314.0,0.004262100000000046
10,16,7,minimize-largest-sum,False,True,False,390.0,0.003430500000000114
10,16,7,minimize-largest-sum,False,True,True,312.0,0.0062725999999999615
10,16,7,minimize-largest-sum,False,False,False,55.0,0.016016199999999925
10,16,7,minimize-largest-sum,False,False,True,511.0,0.005586499999999939
10,16,7,minimize-largest-sum,True,True,False,219.0,0.0032250000000000334
10,16,7,minimize-largest-sum,True,True,True,391.0,0.003053200000000089
10,16,7,minimize-largest-sum,True,False,False,80.0,0.0008848000000001299
10,16,7,minimize-largest-sum,True,False,True,9.0,0.0019009000000000942
10,16,7,maximize-smallest-sum,False,True,False,373.0,0.014465699999999915
10,16,7,maximize-smallest-sum,False,True,True,169.0,0.0023663999999998797
10,16,7,maximize-smallest-sum,False,False,False,34.0,0.013095599999999985
10,16,7,maximize-smallest-sum,False,False,True,246.0,0.0029890000000001304
10,16,7,maximize-smallest-sum,True,True,False,357.0,0.001467000000000107
10,16,7,maximize-smallest-sum,True,True,True,273.0,0.0026446999999998333
10,16,7,maximize-smallest-sum,True,False,False,435.0,0.0013758999999999855
10,16,7,maximize-smallest-sum,True,False,True,306.0,0.0016472000000000708
10,16,8,minimize-largest-sum,False,True,False,304.0,0.011747000000000174
10,16,8,minimize-largest-sum,False,True,True,269.0,0.004751100000000008
10,16,8,minimize-largest-sum,False,False,False,97.0,0.025951199999999952
10,16,8,minimize-largest-sum,False,False,True,9.0,0.0036053999999996478
10,16,8,minimize-largest-sum,True,True,False,1347.0,0.0013022000000000311
10,16,8,minimize-largest-sum,True,True,True,45.0,0.0037818999999998937
10,16,8,minimize-largest-sum,True,False,False,270.0,0.001831800000000161
10,16,8,minimize-largest-sum,True,False,True,488.0,0.0015274000000000676
10,16,8,maximize-smallest-sum,False,True,False,155.0,0.01401640000000004
10,16,8,maximize-smallest-sum,False,True,True,334.0,0.005286399999999691
10,16,8,maximize-smallest-sum,False,False,False,982.0,0.01440729999999979
10,16,8,maximize-smallest-sum,False,False,True,316.0,0.004997299999999871
10,16,8,maximize-smallest-sum,True,True,False,173.0,0.0040751999999999455
10,16,8,maximize-smallest-sum,True,True,True,136.0,0.002048000000000272
10,16,8,maximize-smallest-sum,True,False,False,11.0,0.0024698000000000775
10,16,8,maximize-smallest-sum,True,False,True,89.0,0.003795900000000074
10,16,9,minimize-largest-sum,False,True,False,130.0,0.0019118999999996333
10,16,9,minimize-largest-sum,False,True,True,317.0,0.006076100000000029
10,16,9,minimize-largest-sum,False,False,False,701.0,0.013596300000000117
10,16,9,minimize-largest-sum,False,False,True,194.0,0.0015407000000000615
10,16,9,minimize-largest-sum,True,True,False,2195.0,0.000988299999999942
10,16,9,minimize-largest-sum,True,True,True,32.0,0.0014742999999999284
10,16,9,minimize-largest-sum,True,False,False,138.0,0.0018344000000003469
10,16,9,minimize-largest-sum,True,False,True,163.0,0.0018724999999997216
10,16,9,maximize-smallest-sum,False,True,False,111.0,0.012184599999999879
10,16,9,maximize-smallest-sum,False,True,True,245.0,0.0023561999999999195
10,16,9,maximize-smallest-sum,False,False,False,842.0,0.013998200000000072
10,16,9,maximize-smallest-sum,False,False,True,112.0,0.0026511999999998537
10,16,9,maximize-smallest-sum,True,True,False,100.0,0.0009556000000001674
10,16,9,maximize-smallest-sum,True,True,True,131.0,0.001417899999999861
10,16,9,maximize-smallest-sum,True,False,False,557.0,0.002269399999999866
10,16,9,maximize-smallest-sum,True,False,True,2629.0,0.002446199999999621
10,32,0,minimize-largest-sum,False,True,False,13956497.0,0.0033877000000002155
10,32,0,minimize-largest-sum,False,True,True,1713209.0,0.004536600000000224
10,32,0,minimize-largest-sum,False,False,False,16739010.0,0.01308139999999991
10,32,0,minimize-largest-sum,False,False,True,8777518.0,0.003097900000000209
10,32,0,minimize-largest-sum,True,True,False,11093282.0,0.0030537999999999954
10,32,0,minimize-largest-sum,True,True,True,6359169.0,0.0009437999999999391
10,32,0,minimize-largest-sum,True,False,False,13123462.0,0.0011580000000002144
10,32,0,minimize-largest-sum,True,False,True,53279569.0,0.0026359000000000243
10,32,0,maximize-smallest-sum,False,True,False,22675780.0,0.01332090000000008
10,32,0,maximize-smallest-sum,False,True,True,29274.0,0.001695799999999803
10,32,0,maximize-smallest-sum,False,False,False,9273931.0,0.013753299999999857
10,32,0,maximize-smallest-sum,False,False,True,38910760.0,0.006521600000000127
10,32,0,maximize-smallest-sum,True,True,False,19291327.0,0.0022416000000000658
10,32,0,maximize-smallest-sum,True,True,True,33243738.0,0.002721399999999985
10,32,0,maximize-smallest-sum,True,False,False,14745229.0,0.004357000000000166
10,32,0,maximize-smallest-sum,True,False,True,218018754.0,0.003953099999999932
10,32,1,minimize-largest-sum,False,True,False,49375559.0,0.005264599999999842
10,32,1,minimize-largest-sum,False,True,True,13675431.0,0.003059799999999946
10,32,1,minimize-largest-sum,False,False,False,5296192.0,0.018127999999999922
10,32,1,minimize-largest-sum,False,False,True,9472402.0,0.006170800000000032
10,32,1,minimize-largest-sum,True,True,False,13884529.0,0.002002700000000246
10,32,1,minimize-largest-sum,True,True,True,32557774.0,0.002188800000000324
10,32,1,minimize-largest-sum,True,False,False,5912547.0,0.0023204999999997256
10,32,1,minimize-largest-sum,True,False,True,7284757.0,0.0010826000000001557
10,32,1,maximize-smallest-sum,False,True,False,872566.0,0.014385400000000104
10,32,1,maximize-smallest-sum,False,True,True,1822416.0,0.00679699999999972
10,32,1,maximize-smallest-sum,False,False,False,1891310.0,0.015581099999999903
10,32,1,maximize-smallest-sum,False,False,True,23983122.0,0.0022781000000002827
10,32,1,maximize-smallest-sum,True,True,False,9297506.0,0.001819799999999816
