numitems,bitsperitem,algorithm,instance_id,diff,runtime
12,12,complete-karmarkar-karp-kg,1,16.0,0.0075945000000006
12,12,complete-karmarkar-karp-kg,2,41.0,0.0144018999999993
12,12,complete-karmarkar-karp-kg,3,47.0,0.0041973000000004
12,12,complete-karmarkar-karp-kg,4,89.0,0.0174218000000001
12,12,complete-karmarkar-karp-kg,5,79.0,0.0109917999999993
12,12,complete-karmarkar-karp-kg,6,35.0,0.0092862
12,12,complete-karmarkar-karp-kg,7,141.0,0.0081876000000002
12,12,complete-karmarkar-karp-kg,8,8.0,0.0145993999999998
12,12,complete-karmarkar-karp-kg,9,21.0,0.0087793999999998
12,16,complete-karmarkar-karp-kg,0,126.0,0.0077940000000005
12,16,complete-karmarkar-karp-kg,1,338.0,0.0164904000000003
12,16,complete-karmarkar-karp-kg,2,1004.0,0.0153093000000001
12,16,complete-karmarkar-karp-kg,3,65.0,0.0116509000000002
12,16,complete-karmarkar-karp-kg,4,1285.0,0.0088097999999998
12,16,complete-karmarkar-karp-kg,5,1191.0,0.0121818000000004
12,16,complete-karmarkar-karp-kg,6,4834.0,0.0150626999999996
12,16,complete-karmarkar-karp-kg,7,215.0,0.0115831000000001
12,16,complete-karmarkar-karp-kg,8,425.0,0.0115090000000002
12,16,complete-karmarkar-karp-kg,9,191.0,0.0180016000000007
12,20,complete-karmarkar-karp-kg,0,13710.0,0.0169082999999998
12,20,complete-karmarkar-karp-kg,1,3054.0,0.0098618999999997
12,20,complete-karmarkar-karp-kg,2,47312.0,0.0151155000000002
12,20,complete-karmarkar-karp-kg,3,6287.0,0.0134433000000004
12,20,complete-karmarkar-karp-kg,4,432.0,0.0073206999999992
12,20,complete-karmarkar-karp-kg,5,455.0,0.0136848999999994
12,20,complete-karmarkar-karp-kg,6,21484.0,0.0156353999999989
12,20,complete-karmarkar-karp-kg,7,7408.0,0.0102699000000008
12,20,complete-karmarkar-karp-kg,8,3243.0,0.0149011999999988
12,20,complete-karmarkar-karp-kg,9,7433.0,0.017362799999999
14,4,complete-karmarkar-karp-kg,0,0.0,0.0527373999999998
14,4,complete-karmarkar-karp-kg,1,1.0,0.0438660999999989
14,4,complete-karmarkar-karp-kg,2,1.0,0.0506098999999995
14,4,complete-karmarkar-karp-kg,3,0.0,0.048254
14,4,complete-karmarkar-karp-kg,4,1.0,0.0585944000000004
14,4,complete-karmarkar-karp-kg,5,0.0,0.0480804999999993
14,4,complete-karmarkar-karp-kg,6,0.0,0.0453910000000004
14,4,complete-karmarkar-karp-kg,7,0.0,0.0481140999999993
14,4,complete-karmarkar-karp-kg,8,0.0,0.0473075999999998
14,4,complete-karmarkar-karp-kg,9,0.0,0.0439594000000003
14,8,complete-karmarkar-karp-kg,0,2.0,0.0463982000000005
14,8,complete-karmarkar-karp-kg,1,1.0,0.0230257000000015
14,8,complete-karmarkar-karp-kg,2,1.0,0.0562326999999989
14,8,complete-karmarkar-karp-kg,3,6.0,0.0641442999999988
14,8,complete-karmarkar-karp-kg,4,0.0,0.0358643
14,8,complete-karmarkar-karp-kg,5,11.0,0.0546594999999996
14,8,complete-karmarkar-karp-kg,6,0.0,0.0343292000000001
14,8,complete-karmarkar-karp-kg,7,0.0,0.0604919999999999
14,8,complete-karmarkar-karp-kg,8,1.0,0.0572426000000003
14,8,complete-karmarkar-karp-kg,9,3.0,0.0644042000000002
14,12,complete-karmarkar-karp-kg,0,7.0,0.0488528999999999
14,12,complete-karmarkar-karp-kg,1,9.0,0.0643504000000003
14,12,complete-karmarkar-karp-kg,2,7.0,0.0506474999999984
14,12,complete-karmarkar-karp-kg,3,9.0,0.049514199999999
14,12,complete-karmarkar-karp-kg,4,11.0,0.0528518000000008
14,12,complete-karmarkar-karp-kg,5,23.0,0.0333618999999991
14,12,complete-karmarkar-karp-kg,6,9.0,0.0640917999999999
14,12,complete-karmarkar-karp-kg,7,9.0,0.0584687999999999
14,12,complete-karmarkar-karp-kg,8,18.0,0.0623727000000009
14,12,complete-karmarkar-karp-kg,9,182.0,0.0716570999999994
14,16,complete-karmarkar-karp-kg,0,233.0,0.0539639000000011
14,16,complete-karmarkar-karp-kg,1,65.0,0.0169993999999995
14,16,complete-karmarkar-karp-kg,2,191.0,0.0205295999999997
14,16,complete-karmarkar-karp-kg,3,207.0,0.0661170999999996
14,16,complete-karmarkar-karp-kg,4,69.0,0.0353594000000008
14,16,complete-karmarkar-karp-kg,5,100.0,0.0609681999999995
14,16,complete-karmarkar-karp-kg,6,403.0,0.0166586000000013
14,16,complete-karmarkar-karp-kg,7,362.0,0.0501822
14,16,complete-karmarkar-karp-kg,8,80.0,0.0165265999999988
14,16,complete-karmarkar-karp-kg,9,175.0,0.0417309999999986
14,20,complete-karmarkar-karp-kg,0,2586.0,0.0724099000000002
14,20,complete-karmarkar-karp-kg,1,1048.0,0.0687186000000004
14,20,complete-karmarkar-karp-kg,2,7270.0,0.0401243000000004
14,20,complete-karmarkar-karp-kg,3,28675.0,0.0539889999999996
14,20,complete-karmarkar-karp-kg,4,6472.0,0.0367128000000001
14,20,complete-karmarkar-karp-kg,5,1432.0,0.0243779999999986
14,20,complete-karmarkar-karp-kg,6,8485.0,0.0352347000000001
14,20,complete-karmarkar-karp-kg,7,28583.0,0.0703159000000006
14,20,complete-karmarkar-karp-kg,8,1418.0,0.0752802999999993
14,20,complete-karmarkar-karp-kg,9,2681.0,0.0683036000000001
16,4,complete-karmarkar-karp-kg,0,1.0,0.2247511000000024
16,4,complete-karmarkar-karp-kg,1,0.0,0.1757729000000019
16,4,complete-karmarkar-karp-kg,2,1.0,0.1732326999999998
16,4,complete-karmarkar-karp-kg,3,0.0,0.2063132000000003
16,4,complete-karmarkar-karp-kg,4,0.0,0.1934706999999988
16,4,complete-karmarkar-karp-kg,5,0.0,0.2105786999999992
16,4,complete-karmarkar-karp-kg,6,1.0,0.1824195000000017
16,4,complete-karmarkar-karp-kg,7,0.0,0.2043621000000008
16,4,complete-karmarkar-karp-kg,8,0.0,0.220074499999999
16,4,complete-karmarkar-karp-kg,9,0.0,0.1777146999999992
16,8,complete-karmarkar-karp-kg,0,0.0,0.1006016000000009
16,8,complete-karmarkar-karp-kg,1,0.0,0.2305779000000001
16,8,complete-karmarkar-karp-kg,2,1.0,0.1752226000000014
16,8,complete-karmarkar-karp-kg,3,1.0,0.1666058999999968
16,8,complete-karmarkar-karp-kg,4,1.0,0.192389900000002
16,8,complete-karmarkar-karp-kg,5,0.0,0.1495083000000008
16,8,complete-karmarkar-karp-kg,6,4.0,0.226355299999998
16,8,complete-karmarkar-karp-kg,7,0.0,0.1780742999999987
16,8,complete-karmarkar-karp-kg,8,0.0,0.1636763999999999
16,8,complete-karmarkar-karp-kg,9,0.0,0.2165692000000021
16,12,complete-karmarkar-karp-kg,0,1.0,0.1968206000000023
16,12,complete-karmarkar-karp-kg,1,36.0,0.2065489999999989
16,12,complete-karmarkar-karp-kg,2,12.0,0.1922841999999995
16,12,complete-karmarkar-karp-kg,3,24.0,0.270014800000002
16,12,complete-karmarkar-karp-kg,4,4.0,0.2444728000000005
16,12,complete-karmarkar-karp-kg,5,0.0,0.2255318000000024
16,12,complete-karmarkar-karp-kg,6,0.0,0.1929961999999996
16,12,complete-karmarkar-karp-kg,7,6.0,0.2472540999999992
16,12,complete-karmarkar-karp-kg,8,11.0,0.1398875000000004
16,12,complete-karmarkar-karp-kg,9,9.0,0.1541956000000013
16,16,complete-karmarkar-karp-kg,0,4756.0,0.0872082000000027
16,16,complete-karmarkar-karp-kg,1,79.0,0.2415307000000019
16,16,complete-karmarkar-karp-kg,2,2.0,0.0616114000000003
16,16,complete-karmarkar-karp-kg,3,426.0,0.1358619999999994
16,16,complete-karmarkar-karp-kg,4,1407.0,0.1959662000000008
16,16,complete-karmarkar-karp-kg,5,48.0,0.3254674000000008
16,16,complete-karmarkar-karp-kg,6,22.0,0.3001220999999994
16,16,complete-karmarkar-karp-kg,7,70.0,0.2053240000000009
16,16,complete-karmarkar-karp-kg,8,164.0,0.2686667000000007
16,16,complete-karmarkar-karp-kg,9,72.0,0.168190899999999
16,20,complete-karmarkar-karp-kg,0,410.0,0.1728331999999994
16,20,complete-karmarkar-karp-kg,1,1411.0,0.1916652000000027
16,20,complete-karmarkar-karp-kg,2,2243.0,0.232081100000002
16,20,complete-karmarkar-karp-kg,3,65.0,0.1794468000000009
16,20,complete-karmarkar-karp-kg,4,14396.0,0.145082600000002
16,20,complete-karmarkar-karp-kg,5,5955.0,0.2166010999999983
16,20,complete-karmarkar-karp-kg,6,9596.0,0.2778218999999993
16,20,complete-karmarkar-karp-kg,7,1058.0,0.2994213999999999
16,20,complete-karmarkar-karp-kg,8,1841.0,0.2370641999999989
16,20,complete-karmarkar-karp-kg,9,5954.0,0.2592293000000012
