algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
complete-karmarkar-karp,2,15,32,2,0.0409678000000894,0.0004305197872315
complete-karmarkar-karp,2,15,32,3,0.1092321999999512,0.0001691426696967
complete-karmarkar-karp,2,15,32,4,0.1269158000000061,0.0011342652805724
complete-karmarkar-karp,2,15,32,5,0.0751657000000705,0.0009227145316908
complete-karmarkar-karp,2,15,32,6,0.1108335999999781,0.0020405363416138
complete-karmarkar-karp,2,15,32,7,0.0756872999999132,0.0003435103567676
complete-karmarkar-karp,2,15,32,8,0.091485999999918,0.0001168671824169
complete-karmarkar-karp,2,15,32,9,0.100036799999998,0.0011045253350283
complete-karmarkar-karp,2,15,48,0,0.0835490000000618,0.000398619985934
complete-karmarkar-karp,2,15,48,1,0.1289193000000068,3.310065570115657e-05
complete-karmarkar-karp,2,15,48,2,0.017427600000019,5.94942825912243e-05
complete-karmarkar-karp,2,15,48,3,0.1030322999999953,0.0003921608972212
complete-karmarkar-karp,2,15,48,4,0.0560800999999173,0.0002480076510477
complete-karmarkar-karp,2,15,48,5,0.1348643999999694,0.0020147702859341
complete-karmarkar-karp,2,15,48,6,0.0472750000000132,0.0004179695405125
complete-karmarkar-karp,2,15,48,7,0.1193240000000059,0.0005967273716212
complete-karmarkar-karp,2,15,48,8,0.1034932999999682,0.0021754707235845
complete-karmarkar-karp,2,15,48,9,0.1041685000000143,0.0008482917624496
complete-karmarkar-karp,2,25,16,0,94.08230230000004,7.562256274782144e-06
complete-karmarkar-karp-sy,2,10,16,0,0.0074605999998311,0.0025816727956897
complete-karmarkar-karp-sy,2,10,16,1,0.0027170999996997,0.0018429644597868
complete-karmarkar-karp-sy,2,10,16,2,0.0073520000000826,1.167426466725427e-05
complete-karmarkar-karp-sy,2,10,16,3,0.0142568000001119,2.646973186161624e-05
complete-karmarkar-karp-sy,2,10,16,4,0.0017551000000821,0.0009101574999111
complete-karmarkar-karp-sy,2,10,16,5,0.0101157000003695,0.0028130393692402
complete-karmarkar-karp-sy,2,10,16,6,0.006856300000436,0.0018861622492484
complete-karmarkar-karp-sy,2,10,16,7,0.0041596999999455,0.0008958025253099
complete-karmarkar-karp-sy,2,10,16,8,0.0070258999999168,0.0023946857253006
complete-karmarkar-karp-sy,2,10,16,9,0.0072076000001288,0.0005714653659792
complete-karmarkar-karp-sy,2,10,32,0,0.0044720000000779,0.0005696544341926
complete-karmarkar-karp-sy,2,10,32,1,0.0036722999998346,0.0007000487450847
complete-karmarkar-karp-sy,2,10,32,2,0.0041753999998945,0.0007915465385538
complete-karmarkar-karp-sy,2,10,32,3,0.005260900000394,6.817020590722921e-06
complete-karmarkar-karp-sy,2,10,32,4,0.0060626999998021,0.0008669868089987
complete-karmarkar-karp-sy,2,10,32,5,0.005387900000187,0.0035507473367685
complete-karmarkar-karp-sy,2,10,32,6,0.0053510000002461,0.0092852278119484
complete-karmarkar-karp-sy,2,10,32,7,0.0037293999998837,0.0018643158055419
complete-karmarkar-karp-sy,2,10,32,8,0.0079986999999164,0.0044762738078299
complete-karmarkar-karp-sy,2,10,32,9,0.003860700000132,0.0053810015287058
complete-karmarkar-karp-sy,2,10,48,0,0.0104013000000122,0.0001655431813833
complete-karmarkar-karp-sy,2,10,48,1,0.0062671000000591,0.0016804064371524
complete-karmarkar-karp-sy,2,10,48,2,0.0040242000000034,0.0009615718450837
complete-karmarkar-karp-sy,2,10,48,3,0.0066050000000359,0.0017693066505861
complete-karmarkar-karp-sy,2,10,48,4,0.003354500000114,0.0036496770196056
complete-karmarkar-karp-sy,2,10,48,5,0.009149200000138,0.0024121803140677
complete-karmarkar-karp-sy,2,10,48,6,0.0074417999999241,0.0021758986301027
complete-karmarkar-karp-sy,2,10,48,7,0.0083451000000422,0.0032311246424354
complete-karmarkar-karp-sy,2,10,48,8,0.0085283000003073,0.001063358131188
complete-karmarkar-karp-sy,2,10,48,9,0.0068335000000843,0.0017673769865286
complete-karmarkar-karp-sy,2,20,16,0,0.3985701999999946,0.0
complete-karmarkar-karp-sy,2,20,16,1,4.409922000000279,3.015563322306424e-06
