numitems,bitsperitem,instance_id,objective,use_lower_bound,use_set_of_seen_states,diff,runtime
10,32,2,minimize-largest-sum,False,False,13791258.0,0.0010089000000002013
10,32,2,minimize-largest-sum,False,True,47105488.0,0.0007705000000000073
10,32,2,minimize-largest-sum,True,False,47503658.0,0.0014099999999999113
10,32,2,minimize-largest-sum,True,True,14913477.0,0.001745399999999897
10,32,2,maximize-smallest-sum,False,False,31604763.0,0.0016845000000000887
10,32,2,maximize-smallest-sum,False,True,10032519.0,0.0010943000000001035
10,32,2,maximize-smallest-sum,True,False,36976628.0,0.0021884000000000903
10,32,2,maximize-smallest-sum,True,True,38693468.0,0.0027943999999999747
10,32,3,minimize-largest-sum,False,False,10160934.0,0.0013233999999999746
10,32,3,minimize-largest-sum,False,True,2274173.0,0.0008085999999998261
10,32,3,minimize-largest-sum,True,False,2213952.0,0.001867000000000063
10,32,3,minimize-largest-sum,True,True,17126740.0,0.0032084999999999475
10,32,3,maximize-smallest-sum,False,False,17043533.0,0.000628800000000096
10,32,3,maximize-smallest-sum,False,True,14148361.0,0.0010058000000001677
10,32,3,maximize-smallest-sum,True,False,41175828.0,0.002908300000000086
10,32,3,maximize-smallest-sum,True,True,13116995.0,0.001428599999999891
10,32,4,minimize-largest-sum,False,False,2909195.0,0.0018332000000000903
10,32,4,minimize-largest-sum,False,True,7239000.0,0.0007621999999996021
10,32,4,minimize-largest-sum,True,False,5573669.0,0.0019073999999998925
10,32,4,minimize-largest-sum,True,True,7304555.0,0.0030410000000000714
10,32,4,maximize-smallest-sum,False,False,26467508.0,0.004086400000000268
10,32,4,maximize-smallest-sum,False,True,42498874.0,0.0012502000000003122
10,32,4,maximize-smallest-sum,True,False,108095138.0,0.002300900000000272
10,32,4,maximize-smallest-sum,True,True,9051989.0,0.0023991999999997127
10,32,5,minimize-largest-sum,False,False,6725812.0,0.0008580000000000254
10,32,5,minimize-largest-sum,False,True,134821778.0,0.00173230000000002
10,32,5,minimize-largest-sum,True,False,13802058.0,0.0011833999999999456
10,32,5,minimize-largest-sum,True,True,3193806.0,0.004188699999999823
10,32,5,maximize-smallest-sum,False,False,20593471.0,0.0036536000000002566
10,32,5,maximize-smallest-sum,False,True,16821859.0,0.0007444000000003115
10,32,5,maximize-smallest-sum,True,False,34279592.0,0.0018819999999997172
10,32,5,maximize-smallest-sum,True,True,10268006.0,0.0022047999999998957
10,32,6,minimize-largest-sum,False,False,64405756.0,0.0010300000000000864
10,32,6,minimize-largest-sum,False,True,150073487.0,0.001169899999999835
10,32,6,minimize-largest-sum,True,False,11692667.0,0.002177999999999791
10,32,6,minimize-largest-sum,True,True,221228870.0,0.001654700000000009
10,32,6,maximize-smallest-sum,False,False,40352683.0,0.0010952999999997992
10,32,6,maximize-smallest-sum,False,True,14044562.0,0.0033807999999999616
10,32,6,maximize-smallest-sum,True,False,30391275.0,0.004139100000000173
10,32,6,maximize-smallest-sum,True,True,9271047.0,0.002653899999999876
10,32,7,minimize-largest-sum,False,False,8243734.0,0.002153700000000036
10,32,7,minimize-largest-sum,False,True,8064227.0,0.0031575999999997606
10,32,7,minimize-largest-sum,True,False,29533933.0,0.0030369999999999564
10,32,7,minimize-largest-sum,True,True,5876862.0,0.0018995999999997792
10,32,7,maximize-smallest-sum,False,False,12309790.0,0.0010824000000000389
10,32,7,maximize-smallest-sum,False,True,6320725.0,0.0017244999999999067
10,32,7,maximize-smallest-sum,True,False,4691120.0,0.0031199000000001753
10,32,7,maximize-smallest-sum,True,True,27152818.0,0.0011375999999998498
10,32,8,minimize-largest-sum,False,False,19623603.0,0.001401899999999845
10,32,8,minimize-largest-sum,False,True,49251083.0,0.0007373999999997771
10,32,8,minimize-largest-sum,True,False,65540339.0,0.0008764999999999468
10,32,8,minimize-largest-sum,True,True,3523065.0,0.000802699999999934
10,32,8,maximize-smallest-sum,False,False,83157830.0,0.0013782999999998324
10,32,8,maximize-smallest-sum,False,True,12626902.0,0.0016297000000000672
10,32,8,maximize-smallest-sum,True,False,10833647.0,0.001540300000000272
10,32,8,maximize-smallest-sum,True,True,5732490.0,0.0018393000000003212
10,32,9,minimize-largest-sum,False,False,7658189.0,0.0010020000000001694
10,32,9,minimize-largest-sum,False,True,28366921.0,0.001627500000000115
10,32,9,minimize-largest-sum,True,False,12855104.0,0.0035935999999998636
10,32,9,minimize-largest-sum,True,True,17364096.0,0.005097199999999802
10,32,9,maximize-smallest-sum,False,False,65399630.0,0.0014179999999996973
10,32,9,maximize-smallest-sum,False,True,2856019.0,0.002242700000000042
10,32,9,maximize-smallest-sum,True,False,8430502.0,0.002737900000000071
10,32,9,maximize-smallest-sum,True,True,8865231.0,0.0018868999999996916
10,48,0,minimize-largest-sum,False,False,1386116659585.0,0.002091000000000065
10,48,0,minimize-largest-sum,False,True,109953038299.0,0.001771000000000189
10,48,0,minimize-largest-sum,True,False,698352777550.0,0.0014264999999999972
10,48,0,minimize-largest-sum,True,True,141893184235.0,0.0015078000000001701
10,48,0,maximize-smallest-sum,False,False,527464476970.0,0.0024303999999997217
10,48,0,maximize-smallest-sum,False,True,879213229823.0,0.0016357000000000177
10,48,0,maximize-smallest-sum,True,False,1526254586166.0,0.0014666000000000956
10,48,0,maximize-smallest-sum,True,True,1059383765329.0,0.001730699999999974
10,48,1,minimize-largest-sum,False,False,2840636213209.0,0.00152220000000014
10,48,1,minimize-largest-sum,False,True,823852420547.0,0.001831800000000161
10,48,1,minimize-largest-sum,True,False,591444340509.0,0.0017456999999998501
10,48,1,minimize-largest-sum,True,True,632153531631.0,0.0017890000000000406
10,48,1,maximize-smallest-sum,False,False,1409554895554.0,0.0007806000000001312
10,48,1,maximize-smallest-sum,False,True,741502887374.0,0.0015960000000001529
10,48,1,maximize-smallest-sum,True,False,4137349381355.0,0.002251000000000225
10,48,1,maximize-smallest-sum,True,True,1984368149589.0,0.0028418000000001165
10,48,2,minimize-largest-sum,False,False,79046254705.0,0.0008330000000000837
10,48,2,minimize-largest-sum,False,True,876874496613.0,0.003501100000000257
10,48,2,minimize-largest-sum,True,False,4828684249090.0,0.003016600000000036
10,48,2,minimize-largest-sum,True,True,321745374601.0,0.001975799999999861
10,48,2,maximize-smallest-sum,False,False,60566938953.0,0.001173099999999927
10,48,2,maximize-smallest-sum,False,True,679051823877.0,0.000994400000000173
10,48,2,maximize-smallest-sum,True,False,446799572547.0,0.0012225000000003483
10,48,2,maximize-smallest-sum,True,True,2292279345756.0,0.002216000000000218
10,48,3,minimize-largest-sum,False,False,654478965711.0,0.0012026000000000536
10,48,3,minimize-largest-sum,False,True,715401062036.0,0.0023632000000000097
10,48,3,minimize-largest-sum,True,False,2803117733067.0,0.0026044000000000622
10,48,3,minimize-largest-sum,True,True,401127027200.0,0.0007939999999999614
10,48,3,maximize-smallest-sum,False,False,456413727381.0,0.0019316000000002553
10,48,3,maximize-smallest-sum,False,True,859693461645.0,0.0011543000000000525
10,48,3,maximize-smallest-sum,True,False,2594824658792.0,0.0018148000000000053
10,48,3,maximize-smallest-sum,True,True,1299486068186.0,0.002533199999999791
10,48,4,minimize-largest-sum,False,False,2255745869575.0,0.0015632000000000978
10,48,4,minimize-largest-sum,False,True,854972036201.0,0.0014946000000000126
10,48,4,minimize-largest-sum,True,False,1258614355664.0,0.003220100000000059
10,48,4,minimize-largest-sum,True,True,1102736238808.0,0.0021037000000001527
10,48,4,maximize-smallest-sum,False,False,2789859416876.0,0.0028641999999998724
10,48,4,maximize-smallest-sum,False,True,1131255732230.0,0.0012959999999999638
10,48,4,maximize-smallest-sum,True,False,938773819065.0,0.0015748000000002094
10,48,4,maximize-smallest-sum,True,True,618914062093.0,0.003673400000000271
10,48,5,minimize-largest-sum,False,False,933733138712.0,0.001549100000000081
10,48,5,minimize-largest-sum,False,True,4884735953640.0,0.0018298000000003256
10,48,5,minimize-largest-sum,True,False,260456962093.0,0.0028143999999996616
10,48,5,minimize-largest-sum,True,True,666749274603.0,0.0013583000000001455
10,48,5,maximize-smallest-sum,False,False,16237168888.0,0.001419499999999907
10,48,5,maximize-smallest-sum,False,True,2455300442356.0,0.0009495999999997728
10,48,5,maximize-smallest-sum,True,False,2009959589659.0,0.0014609999999999346
10,48,5,maximize-smallest-sum,True,True,804261607091.0,0.003509199999999879
10,48,6,minimize-largest-sum,False,False,529005012031.0,0.0013088999999997242
10,48,6,minimize-largest-sum,False,True,5546068904837.0,0.0032487999999997186
10,48,6,minimize-largest-sum,True,False,2516359957219.0,0.0021396000000000193
10,48,6,minimize-largest-sum,True,True,694948766009.0,0.004334699999999803
10,48,6,maximize-smallest-sum,False,False,1131930559429.0,0.0031826000000001464
10,48,6,maximize-smallest-sum,False,True,200676241457.0,0.0014172999999999547
10,48,6,maximize-smallest-sum,True,False,4688751326406.0,0.00185499999999994
10,48,6,maximize-smallest-sum,True,True,5488207314833.0,0.004270800000000019
10,48,7,minimize-largest-sum,False,False,1306693288351.0,0.0014441000000000592
10,48,7,minimize-largest-sum,False,True,2630146267967.0,0.001572000000000351
10,48,7,minimize-largest-sum,True,False,4843873715335.0,0.001984800000000231
10,48,7,minimize-largest-sum,True,True,1037421318168.0,0.0011407000000001055
10,48,7,maximize-smallest-sum,False,False,863371017772.0,0.0009639999999997428
10,48,7,maximize-smallest-sum,False,True,2457765609211.0,0.0022252999999996526
10,48,7,maximize-smallest-sum,True,False,2480197176534.0,0.002873999999999821
10,48,7,maximize-smallest-sum,True,True,414933363110.0,0.0035088000000000896
10,48,8,minimize-largest-sum,False,False,2120210907607.0,0.0013100000000001444
10,48,8,minimize-largest-sum,False,True,119446677972.0,0.0022236999999996065
10,48,8,minimize-largest-sum,True,False,54507426207.0,0.002660600000000013
10,48,8,minimize-largest-sum,True,True,498514969598.0,0.0021698000000003326
10,48,8,maximize-smallest-sum,False,False,1200597761246.0,0.000716000000000161
10,48,8,maximize-smallest-sum,False,True,2098240268840.0,0.002840300000000351
10,48,8,maximize-smallest-sum,True,False,660497890653.0,0.0022750999999998633
10,48,8,maximize-smallest-sum,True,True,328929751288.0,0.004666999999999977
10,48,9,minimize-largest-sum,False,False,534970258865.0,0.0016973000000000127
10,48,9,minimize-largest-sum,False,True,1331519430926.0,0.0012029000000000067
10,48,9,minimize-largest-sum,True,False,2698001422859.0,0.0010372999999996857
10,48,9,minimize-largest-sum,True,True,4037874393883.0,0.002545099999999856
10,48,9,maximize-smallest-sum,False,False,3255232061641.0,0.0026133000000001516
10,48,9,maximize-smallest-sum,False,True,679883469168.0,0.001878999999999742
10,48,9,maximize-smallest-sum,True,False,413365348224.0,0.0021604000000001733
10,48,9,maximize-smallest-sum,True,True,250074684004.0,0.00130510000000017
12,16,0,minimize-largest-sum,False,False,38.0,0.006178900000000098
12,16,0,minimize-largest-sum,False,True,2.0,0.007074100000000083
12,16,0,minimize-largest-sum,True,False,52.0,0.001775799999999883
12,16,0,minimize-largest-sum,True,True,18.0,0.006613199999999875
12,16,0,maximize-smallest-sum,False,False,223.0,0.0025447000000000664
12,16,0,maximize-smallest-sum,False,True,137.0,0.0024284999999997225
12,16,0,maximize-smallest-sum,True,False,25.0,0.004571799999999904
12,16,0,maximize-smallest-sum,True,True,41.0,0.0043464000000001946
12,16,1,minimize-largest-sum,False,False,10.0,0.003720699999999688
12,16,1,minimize-largest-sum,False,True,142.0,0.0043160000000002086
12,16,1,minimize-largest-sum,True,False,61.0,0.011987999999999666
12,16,1,minimize-largest-sum,True,True,32.0,0.0035989000000000715
12,16,1,maximize-smallest-sum,False,False,207.0,0.003940300000000008
12,16,1,maximize-smallest-sum,False,True,4.0,0.002660899999999966
12,16,1,maximize-smallest-sum,True,False,15.0,0.004366899999999951
12,16,1,maximize-smallest-sum,True,True,12.0,0.011210800000000187
12,16,2,minimize-largest-sum,False,False,37.0,0.004803100000000171
12,16,2,minimize-largest-sum,False,True,6.0,0.003980099999999709
12,16,2,minimize-largest-sum,True,False,14.0,0.003875599999999757
12,16,2,minimize-largest-sum,True,True,185.0,0.009221600000000052
12,16,2,maximize-smallest-sum,False,False,73.0,0.004463799999999907
12,16,2,maximize-smallest-sum,False,True,227.0,0.002838800000000141
12,16,2,maximize-smallest-sum,True,False,266.0,0.0051315000000000666
12,16,2,maximize-smallest-sum,True,True,48.0,0.013203199999999526
12,16,3,minimize-largest-sum,False,False,25.0,0.003488100000000216
12,16,3,minimize-largest-sum,False,True,170.0,0.00578570000000056
12,16,3,minimize-largest-sum,True,False,138.0,0.0015144999999998632
12,16,3,minimize-largest-sum,True,True,9.0,0.00809459999999973
12,16,3,maximize-smallest-sum,False,False,24.0,0.0022628999999998456
12,16,3,maximize-smallest-sum,False,True,43.0,0.004037799999999869
12,16,3,maximize-smallest-sum,True,False,66.0,0.003702700000000725
12,16,3,maximize-smallest-sum,True,True,3.0,0.0053330999999996465
12,16,4,minimize-largest-sum,False,False,16.0,0.005529400000000351
12,16,4,minimize-largest-sum,False,True,26.0,0.006552100000000394
12,16,4,minimize-largest-sum,True,False,58.0,0.005748200000000203
12,16,4,minimize-largest-sum,True,True,38.0,0.0073088999999999515
12,16,4,maximize-smallest-sum,False,False,56.0,0.0035439000000003773
12,16,4,maximize-smallest-sum,False,True,45.0,0.0026077000000004347
12,16,4,maximize-smallest-sum,True,False,14.0,0.0059605999999998716
12,16,4,maximize-smallest-sum,True,True,32.0,0.006441500000000211
12,16,5,minimize-largest-sum,False,False,74.0,0.0034466999999995807
12,16,5,minimize-largest-sum,False,True,115.0,0.0019692999999998406
12,16,5,minimize-largest-sum,True,False,56.0,0.0026060999999995005
12,16,5,minimize-largest-sum,True,True,74.0,0.0027079000000007625
12,16,5,maximize-smallest-sum,False,False,26.0,0.003078200000000031
12,16,5,maximize-smallest-sum,False,True,275.0,0.003913899999999693
12,16,5,maximize-smallest-sum,True,False,485.0,0.005592099999999434
12,16,5,maximize-smallest-sum,True,True,84.0,0.005282399999999576
12,16,6,minimize-largest-sum,False,False,24.0,0.005407899999999799
12,16,6,minimize-largest-sum,False,True,33.0,0.0028529999999999944
